Designator,Mid X,Mid Y,Rotation,Layer
AE3,145.05,-125.075001,270,bottom
AE4,104.1396,-83.1,180,bottom
BOOT1,150.6,-65.479685,270,top
C1,166.05,-69.85,0,top
C10,125.1,-51.07,90,top
C11,123.95,-51.05,90,top
C13,113.8,-62.4,0,bottom
C14,112.75,-60.82,270,bottom
C15,109.72,-63.3,0,bottom
C16,107.1,-60.95,270,bottom
C2,167.1,-72.17,270,top
C21,112,-80,270,top
C22,116.2,-80.2,270,top
C23,141.25,-117.45,270,bottom
C24,137.05,-83.45,270,top
C25,116.25,-52.3,270,top
C26,118.1,-52.35,270,top
C27,121.4,-54.1675,270,top
C28,120,-54.3175,270,top
C29,175.2,-120.4375,270,top
C3,168.55,-72.15,270,top
C30,127.5,-77.05,270,top
C31,122.65,-79.8,270,top
C32,167.4625,-97.45,180,top
C35,133.65,-88.85,0,top
C52,161.2,-90.88,270,top
C53,150.6,-88.75,270,top
C54,146.2,-89.2,270,top
C55,148.6,-89.25,270,top
C56,162.175,-86.8,0,top
C57,162.1,-88.65,0,top
C58,162.175,-84.75,0,top
C59,138.3,-102.2,270,top
C6,119.55,-57.9,180,top
C60,135.15,-102.35,90,top
C61,133.4,-102.25,90,top
C62,131.65,-102.15,90,top
C63,147.85,-107.15,180,top
C64,147.87,-108.5,180,top
C65,147.9,-109.7,180,top
C66,102,-116.92,90,bottom
C67,146.3,-117.3,270,bottom
C68,100.65,-116.83,90,bottom
C69,120.92,-96.6,0,top
C7,155.15,-77.58,270,top
C70,104.35,-88.22,90,bottom
C71,108.03,-91,0,bottom
C72,115.98,-90.65,180,bottom
C73,115.15,-79.5,0,bottom
C74,119,-118.95,270,top
C75,120.37,-112.4,180,top
C76,115.85,-85.92,270,top
C8,156.7,-77.58,270,top
C9,158.15,-77.58,270,top
D1,156.35,-72.7,90,top
D10,117.25,-63.75,0,bottom
D11,117,-66.8,0,bottom
D12,121.1,-52,0,bottom
D13,125,-68.1,180,bottom
D15,112.55,-54.5,180,top
D16,112.6875,-59.5625,0,top
D17,105.35,-77.85,180,top
D23,165.45,-82.95,90,top
D24,151.9875,-104.15,0,top
D25,121.5,-117.35,0,top
D26,108.7125,-96.4,180,top
D27,120.775,-98.75,180,top
D28,124.35,-89.1,180,top
D3,165.85,-52.2575,180,top
D8,139.75,-107,180,top
IC1,113.25,-84.9,0,bottom
IC2,168.17,-105.87,0,top
IC3,132.3,-77.05,180,top
IC4,119.95,-110.05,270,bottom
J1,106.8281,-114.95,90,top
J3,101.9,-55.6,270,top
L1,161.35,-63.6,180,top
L2,140.75,-77.95,270,top
L3,120.55,-51.7325,180,top
L5,155.1,-85.5,0,top
L9,106.35,-87.135,90,bottom
Q1,112.5,-86.5875,270,top
Q10,124.4,-56.15,180,bottom
Q11,124.3875,-61.15,180,bottom
Q15,110.375,-102.9375,180,top
Q16,123.7375,-102.9,180,top
Q8,118.7,-70.25,180,top
Q9,106.4,-70.55,180,top
R1,165.5,-72.15,90,top
R100,109.8,-87.01,90,top
R101,110.94,-89.6,0,top
R11,114.3,-60.76,90,bottom
R110,108.25,-87.75,180,bottom
R111,118.61,-87.85,180,bottom
R112,118.39,-81.9,180,bottom
R12,122.85,-53.11,270,top
R13,151.11,-70.65,0,top
R14,160.85,-123.08,90,top
R15,161.35,-105.95,270,top
R16,160.44,-50.27,0,top
R17,160.44,-52.26,0,top
R18,160.44,-54.25,0,top
R19,113.06,-64.85,180,bottom
R2,160.09,-75.45,0,top
R20,120.85,-56.3,270,bottom
R21,123.31,-58.75,0,bottom
R22,124.05,-64.56,90,bottom
R24,100.25,-66.9,270,top
R25,103.925,-64.3,0,top
R26,133.85,-81.21,90,top
R27,131.7,-80.6,180,top
R3,160.55,-77.26,270,top
R31,111.45,-63.5,180,top
R57,158.94,-90.4,0,top
R58,159.35,-84.2,90,top
R59,159.06,-95.2,0,top
R75,140.95,-103.69,270,top
R76,161.74,-80.55,0,top
R77,152.21,-101.35,0,top
R78,138.75,-105.65,180,top
R79,142.8,-98.64,90,top
R80,139.19,-96.7,180,top
R81,115.7,-59.41,270,top
R82,108.1,-89.6,0,bottom
R86,139.59,-124.9,180,bottom
R87,104.2,-84.95,0,top
R88,124.39,-118.45,0,top
R89,122.5,-114.35,90,top
R90,120.9,-114.34,90,top
R91,110.715,-99.25,0,top
R92,124.125,-99.2,0,top
R93,106.235,-100.15,0,top
R94,119.015,-102.15,0,top
R95,106.625,-103.11,90,top
R96,119.225,-104.81,90,top
R98,111.9,-83.44,90,top
RESET1,119.525,-60.575,0,top
U10,155.3,-91.3875,180,top
U2,162.1125,-71.3,270,top
U3,166.45,-119.62,90,top
U4,145.562,-103.545,270,top
U6,137.355,-58.135,270,top
U8,112.55,-54.4125,0,bottom
Y1,109.475,-60.95,0,bottom
