Designator,Mid X,Mid Y,Layer,Rotation
AE3,145.05,-125.075001,bottom,90
AE4,104.1396,-83.1,bottom,180
C13,113.8,-62.4,bottom,180
C14,112.75,-60.82,bottom,-90
C15,109.72,-63.3,bottom,180
C16,107.1,-60.95,bottom,-90
C23,141.25,-117.45,bottom,90
C66,102,-116.92,bottom,90
C67,146.3,-117.3,bottom,90
C68,100.65,-116.83,bottom,90
C70,104.35,-88.22,bottom,90
C71,108.03,-91,bottom,180
C72,115.98,-90.65,bottom,0
C73,115.15,-79.5,bottom,180
D10,117.25,-63.75,bottom,180
D11,117,-66.8,bottom,180
D12,121.1,-52,bottom,180
D13,125,-68.1,bottom,180
IC1,113.25,-84.9,bottom,90
IC4,119.95,-110.05,bottom,180
L9,106.35,-87.135,bottom,90
Q10,124.4,-56.15,bottom,180
Q11,124.3875,-61.15,bottom,180
R11,114.3,-60.76,bottom,90
R19,113.06,-64.85,bottom,0
R20,120.85,-56.3,bottom,-90
R21,123.31,-58.75,bottom,180
R22,124.05,-64.56,bottom,90
R82,108.1,-89.6,bottom,180
R86,139.59,-124.9,bottom,0
R110,108.25,-87.75,bottom,0
R111,118.61,-87.85,bottom,0
R112,118.39,-81.9,bottom,0
U8,112.55,-54.4125,bottom,90
Y1,109.475,-60.95,bottom,180
BOOT1,150.6,-65.479685,top,-90
C1,166.05,-69.85,top,0
C2,167.1,-72.17,top,-90
C3,168.55,-72.15,top,-90
C6,119.55,-57.9,top,180
C7,155.15,-77.58,top,-90
C8,156.7,-77.58,top,-90
C9,158.15,-77.58,top,-90
C10,125.1,-51.07,top,90
C11,123.95,-51.05,top,90
C21,112,-80,top,-90
C22,116.2,-80.2,top,-90
C24,137.05,-83.45,top,-90
C25,116.25,-52.3,top,-90
C26,118.1,-52.35,top,-90
C27,121.4,-54.1675,top,-90
C28,120,-54.3175,top,-90
C29,175.2,-120.4375,top,-90
C30,127.5,-77.05,top,-90
C31,122.65,-79.8,top,-90
C32,167.4625,-97.45,top,180
C35,133.65,-88.85,top,0
C52,161.2,-90.88,top,-90
C53,150.6,-88.75,top,-90
C54,146.2,-89.2,top,-90
C55,148.6,-89.25,top,-90
C56,162.175,-86.8,top,0
C57,162.1,-88.65,top,0
C58,162.175,-84.75,top,0
C59,138.3,-102.2,top,90
C60,135.15,-102.35,top,90
C61,133.4,-102.25,top,90
C62,131.65,-102.15,top,90
C63,147.85,-107.15,top,180
C64,147.87,-108.5,top,180
C65,147.9,-109.7,top,180
C69,120.92,-96.6,top,0
C74,119,-118.95,top,-90
C75,120.37,-112.4,top,180
C76,115.85,-85.92,top,-90
D1,156.35,-72.7,top,90
D3,165.85,-52.2575,top,0
D8,139.75,-107,top,180
D15,112.55,-54.5,top,0
D16,112.6875,-59.5625,top,180
D17,105.35,-77.85,top,180
D23,165.45,-82.95,top,90
D24,151.9875,-104.15,top,0
D25,121.5,-117.35,top,90
D26,108.7125,-96.4,top,180
D27,120.775,-98.75,top,180
D28,124.35,-89.1,top,180
IC2,165.63,-104.6,top,0
IC3,132.3,-77.05,top,180
J1,106.8281,-114.95,top,-90
J3,101.9,-55.6,top,-90
L1,161.35,-63.6,top,180
L2,140.75,-77.95,top,-90
L3,120.55,-51.7325,top,180
L5,155.1,-85.5,top,0
Q1,112.5,-86.5875,top,90
Q8,118.7,-70.25,top,0
Q9,106.4,-70.55,top,0
Q15,110.375,-102.9375,top,0
Q16,123.7375,-102.9,top,0
R1,165.5,-72.15,top,90
R2,160.09,-75.45,top,0
R3,160.55,-77.26,top,-90
R12,122.85,-53.11,top,-90
R13,151.11,-70.65,top,0
R14,160.85,-123.08,top,90
R15,161.35,-105.95,top,-90
R16,160.44,-50.27,top,0
R17,160.44,-52.26,top,0
R18,160.44,-54.25,top,0
R24,100.25,-66.9,top,-90
R25,103.925,-64.3,top,0
R26,133.85,-81.21,top,90
R27,131.7,-80.6,top,180
R31,111.45,-63.5,top,180
R57,158.94,-90.4,top,0
R58,159.35,-84.2,top,90
R59,159.06,-95.2,top,0
R75,140.95,-103.69,top,-90
R76,161.74,-80.55,top,0
R77,152.21,-101.35,top,0
R78,138.75,-105.65,top,180
R79,142.8,-98.64,top,90
R80,139.19,-96.7,top,180
R81,115.7,-59.41,top,-90
R87,104.2,-84.95,top,0
R88,124.39,-118.45,top,0
R89,122.5,-114.35,top,90
R90,120.9,-114.34,top,90
R91,110.715,-99.25,top,0
R92,124.125,-99.2,top,0
R93,106.235,-100.15,top,0
R94,119.015,-102.15,top,0
R95,106.625,-103.11,top,90
R96,119.225,-104.81,top,90
R98,111.9,-83.44,top,90
R100,109.8,-87.01,top,90
R101,110.94,-89.6,top,0
RESET1,119.525,-60.575,top,0
U2,162.1125,-71.3,top,0
U3,166.45,-123.43,top,90
U4,145.562,-103.545,top,0
U6,137.355,-58.135,top,0
U10,155.3,-91.3875,top,0
