"Symbol";"Value";"Unit";
"REFERENCE";"SIM7155-6-1-14-A";"";
"TraceParts.PartVersion";"1.0.7";"";
"SUPPLIER";"GCT";"";
"switch_position";"Normally Closed";"";
"locating_peg";"Without locating peg";"";
"TraceParts.PartTitle";"SIM7155";"";
"DESIGN";"Micro SIM Card Connector, Push-Push Type, 6 pins, Surface mount, 1.43mm Profile";"";
"TraceParts.PartNumber";"90-01072022-031885";"";
"TraceParts.PartLanguage";"en";"";
"profile";"1.43";"";
"TraceParts.InstanceId";"90-01072022-0318853HT3YSS6CPWBWQGL1OC7QAI14";"";
"switch";"With switch - Normally Closed";"";
"style";"Push-Push";"";
"polarisation";"1";"";
"contacts";"6";"";
"has_8_contacts";"No";"";
"TRACEPARTS";"TRACEPARTS";"";
"sim_card_type";"3FF";"";
"has_6_contacts";"Yes";"";
"mount_type";"Surface mount";"";
