Designator,Footprint,Quantity,Value,LCSC Part #
+5V,TestPoint_Loop_D2.50mm_Drill1.85mm,1,5v,
AE3,CONN_2337019-1_TEC,1,GPRS_ANTENNA,BWU.FL-IPEX1
AE4,CONN_2337019-1_TEC,1,GPS_ANTENNA,BWU.FL-IPEX1
BAT+1,TestPoint_Loop_D2.50mm_Drill1.85mm,1,BAT+,
BAT-1,TestPoint_Loop_D2.50mm_Drill1.85mm,1,BAT-,
"BOOT1, RESET1",SMT_4.2X3.2_,2,SW_Push,
"C1, C2, C30, C64, C65, C8, C9",0402,7,22u,
"C10, C68",0402,2,10u,
"C11, C6",0402,2,0.1u,
C13,0402,1,22uF,
"C14, C52",0402,2,100nF,
"C15, C16",0402,2,22pF,
C21,0603,1,4.7u,
"C22, C60",0603,2,10u,
"C23, C67",CP_EIA-3528-21_Kemet-B,2,220u,TLJB227M006R0500
"C24, C27, C29, C3, C32, C62, C63, C66, C7, C72, C73, C74, C76",0402,13,100n,
"C25, C28",0402,2,4.7u,
C26,0402,1,10n,
"C31, C35",CP_Elec_6.3x5.4,2,220u,RVT1A221M0605
"C53, C57",0402,2,100nF_65V,
"C54, C55",0805,2,10uF,
"C56, C58",0603,2,22uF,
C59,CP_EIA-3528-21_Kemet-B,1,47u,TAJB476K010RNJ
C61,0603,1,100n,
"C69, C71",0402,2,33p,
"C70, C75",0402,2,22p,
"D1, D17",D_SMA,2,SS54,
"D10, D11, D12",D_SOD-123,3,B5819W,
D13,SOT-23,1,BAT54C,
"D15, D16",SOT-23,2,SP0502BAHT,
D23,0603,1,PWR,
D24,0603,1,DONE_GRN_LED,
D25,SOT-363_SC-70-6,1,ESD0504F,ESD0504F
D26,0603,1,LED_net,
D27,0603,1,LED_status,
D28,D_SOD-123,1,4.2v Zener,
D3,LED_ROHM_SMLVN6,1,SMLVN6RGB,
D8,0603,1,CHARGING_RED_LED,
GND,TestPoint_Loop_D2.50mm_Drill1.85mm,1,GND,
IC1,SOP65P640X120-20N,1,RS0108YQ20,
IC2,AS312,1,AS312,
IC3,TPS630250RNCR,1,TPS630250RNCR,
IC4,SIM7600GHR2,1,SIM7600G-H_R2,
J1,SIM7155-6-1-14-A_GCT,1,SIM7155-6-1-14-A,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
L1,L_Chilisin_BMRG00101030,1,22uH,CYA1040-22UH
L2,L_Chilisin_BMRx00050512-B,1,1uH,YSPI0530S-1R0M
L3,0603,1,2A_bead,
L5,L_Chilisin_BMRx00050512-B,1,4.7uH,YSPI0530S-4R7M
L9,0402,1,47nH,
Q1,SOT-23,1,BC817,
"Q10, Q11",SOT-23,2,MMBT3904,
"Q15, Q16",SOT-23,2,SI2302,
"Q8, Q9",SOT-223-3_TabPin2,2,NCE6005AR,
"R1, R11, R110, R12, R13, R19, R20, R21, R59, R95, R96",0402,11,10K,
"R100, R101, R14, R87, R98",0402,5,4.7k,
"R111, R112",0402,2,47k,
"R15, R16, R17, R18, R75, R76, R77, R78, R93, R94",0402,10,1k,
R2,0402,1,120K,
R22,0402,1,220R,
R24,0603,1,1K,
R25,0603,1,10K,
R26,0402,1,720K,
R27,0402,1,180K,
R3,0402,1,16K,
"R31, R81",0402,2,5.1K,
R57,0402,1,30R,
R58,0402,1,30.9K,
R79,0402,1,4870,
R80,0402,1,86600,
R82,0402,1,47R,
R86,0402,1,0R,
"R88, R89, R90",0402,3,22R,
"R91, R92",0402,2,390R,
SWITCH+1,TestPoint_Pad_D2.5mm,1,Switch+,
SWITCH-1,TestPoint_Pad_D2.5mm,1,Switch-,
TP18,TestPoint_Pad_D1.5mm,1,THERM+,
TP19,TestPoint_Pad_D1.5mm,1,THERM-,
U10,SOT-23-6,1,TPS56339DDC,
U2,SOT-23-6,1,MT3608,
U3,ASAIR_AM2302_P2.54mm_Vertical,1,AM2302,
U4,SOIC127P600X175-9N,1,TP4056,
U6,ESP32-WROOM-32,1,ESP32-WROOM-32,
U8,SSOP-20_5.3x7.2mm_P0.65mm,1,CH340T(SSOP20W),
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz,
